DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
202 - BRONCHITIS & ASTHMA W CC/MCC,330232,SETON HEALTH SYSTEM-ST MARY'S CAMPUS,1300 MASSACHUSETTS AVENUE,TROY,NY,12180,NY - Albany,12,"$17,891.91 ","$4,940.00 ","$3,905.00 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330233,BROOKDALE HOSPITAL MEDICAL CENTER,LINDEN BOULEVARD AT BROOKDALE PLAZA,BROOKLYN,NY,11212,NY - Manhattan,13,"$10,932.69 ","$10,213.23 ","$9,441.84 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330235,AUBURN COMMUNITY HOSPITAL,17 LANSING STREET,AUBURN,NY,13021,NY - Syracuse,16,"$8,446.06 ","$5,657.31 ","$4,135.81 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330236,NEW YORK METHODIST HOSPITAL,506 SIXTH STREET,BROOKLYN,NY,11215,NY - Manhattan,41,"$17,789.95 ","$9,215.19 ","$8,366.31 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330240,HARLEM HOSPITAL CENTER,506 LENOX AVENUE,NEW YORK,NY,10037,NY - Manhattan,16,"$12,864.31 ","$11,939.56 ","$11,377.56 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330241,UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,750 EAST ADAMS STREET,SYRACUSE,NY,13210,NY - Syracuse,15,"$13,649.06 ","$7,478.53 ","$6,354.46 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330245,ST ELIZABETH MEDICAL CENTER,2209 GENESEE STREET,UTICA,NY,13501,NY - Elmira,17,"$12,898.00 ","$5,196.88 ","$4,207.47 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330246,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,PORT JEFFERSON,NY,11777,NY - East Long Island,15,"$36,597.73 ","$6,488.00 ","$4,519.13 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,VT - Burlington,21,"$19,397.95 ","$6,962.71 ","$6,103.28 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330259,MERCY MEDICAL CENTER,1000 NORTH VILLAGE AVENUE,ROCKVILLE CENTR,NY,11570,NY - East Long Island,13,"$18,888.46 ","$6,960.92 ","$3,563.61 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330264,ST LUKE'S CORNWALL HOSPITAL,70 DUBOIS STREET,NEWBURGH,NY,12550,NY - White Plains,18,"$19,788.27 ","$5,988.22 ","$4,992.88 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330273,PUTNAM HOSPITAL CENTER,670 STONELEIGH AVENUE,CARMEL,NY,10512,CT - New Haven,18,"$24,591.61 ","$5,719.16 ","$4,842.27 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330276,NATHAN LITTAUER HOSPITAL,99 EAST STATE STREET,GLOVERSVILLE,NY,12078,NY - Albany,11,"$13,208.81 ","$5,396.72 ","$4,585.09 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330285,STRONG MEMORIAL HOSPITAL,601 ELMWOOD AVE,ROCHESTER,NY,14642,NY - Rochester,32,"$8,244.59 ","$7,008.18 ","$6,691.81 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,NY - East Long Island,33,"$30,154.87 ","$6,341.93 ","$4,639.27 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330304,WHITE PLAINS HOSPITAL CENTER,41 EAST POST R0AD,WHITE PLAINS,NY,10601,NY - White Plains,27,"$19,516.88 ","$5,799.51 ","$4,604.29 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330306,LUTHERAN MEDICAL CENTER,150 55TH STREET,BROOKLYN,NY,11220,NY - Manhattan,23,"$11,347.47 ","$10,211.04 ","$9,086.91 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330316,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,2475 ST RAYMOND AVENUE,BRONX,NY,10461,NY - Bronx,11,"$17,955.63 ","$6,929.54 ","$5,168.90 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330331,PLAINVIEW HOSPITAL,888 OLD COUNTRY ROAD,PLAINVIEW,NY,11803,NY - East Long Island,15,"$22,148.93 ","$6,228.13 ","$5,477.73 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330332,ST JOSEPH HOSPITAL,4295 HEMPSTEAD TURNPIKE,BETHPAGE,NY,11714,NY - East Long Island,22,"$19,276.04 ","$5,618.59 ","$4,848.22 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330350,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),445 LENOX ROAD,BROOKLYN,NY,11203,NY - Manhattan,16,"$15,232.06 ","$10,837.18 ","$9,923.43 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330353,FOREST HILLS HOSPITAL,102 - 01 66TH ROAD,FOREST HILLS,NY,11375,NY - East Long Island,41,"$16,906.24 ","$7,542.80 ","$6,408.17 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330372,FRANKLIN HOSPITAL,900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580,NY - East Long Island,22,"$26,851.18 ","$5,973.95 ","$5,103.59 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330393,UNIVERSITY HOSPITAL ( STONY BROOK ),HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,NY - East Long Island,27,"$26,160.48 ","$8,988.88 ","$8,155.11 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",33-57 HARRISON STREET,JOHNSON CITY,NY,13790,NY - Binghamton,16,"$11,782.12 ","$5,496.25 ","$4,584.50 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,NY - Bronx,18,"$15,969.83 ","$12,098.94 ","$11,162.72 "
202 - BRONCHITIS & ASTHMA W CC/MCC,330401,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,SMITHTOWN,NY,11787,NY - East Long Island,32,"$30,533.12 ","$5,528.00 ","$4,623.09 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330004,KINGSTON HOSPITAL,396 BROADWAY,KINGSTON,NY,12401,NY - Albany,19,"$22,203.52 ","$4,721.36 ","$3,641.36 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330005,KALEIDA HEALTH,"726 EXCHANGE STREET, SUITE 522",BUFFALO,NY,14210,NY - Buffalo,23,"$7,694.78 ","$4,745.04 ","$3,631.73 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330013,ALBANY MEDICAL CENTER HOSPITAL,43 NEW SCOTLAND AVENUE,ALBANY,NY,12208,NY - Albany,23,"$15,534.86 ","$5,074.56 ","$3,390.60 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,NY - Manhattan,17,"$11,858.64 ","$5,858.64 ","$5,063.35 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,NY - Albany,17,"$22,143.64 ","$4,253.58 ","$3,260.41 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NY - Manhattan,51,"$14,202.11 ","$7,695.54 ","$6,341.84 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NY - East Long Island,16,"$8,888.18 ","$7,183.25 ","$6,132.00 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330043,SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,BAY SHORE,NY,11706,NY - East Long Island,16,"$18,126.56 ","$4,876.37 ","$4,033.37 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330044,FAXTON-ST LUKE'S HEALTHCARE,1656 CHAMPLIN AVENUE,UTICA,NY,13503,NY - Elmira,11,"$11,762.90 ","$3,676.45 ","$2,484.09 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330045,HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743,NY - East Long Island,15,"$17,221.93 ","$4,054.53 ","$3,002.26 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330046,ST LUKE'S ROOSEVELT HOSPITAL,1111 AMSTERDAM AVENUE,NEW YORK,NY,10025,NY - Manhattan,43,"$20,133.13 ","$6,953.04 ","$5,978.37 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330047,ST MARY'S HOSPITAL AT AMSTERDAM,427 GUY PARK AVENUE,AMSTERDAM,NY,12010,NY - Albany,13,"$8,047.15 ","$3,774.15 ","$2,349.23 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330055,NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,56-45 MAIN STREET,FLUSHING,NY,11355,NY - East Long Island,37,"$14,597.59 ","$6,040.62 ","$4,672.24 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330056,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,121 DEKALB AVENUE,BROOKLYN,NY,11201,NY - Manhattan,20,"$13,490.25 ","$7,759.05 ","$6,693.25 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330057,ST PETER'S HOSPITAL,315 SOUTH MANNING BOULEVARD,ALBANY,NY,12208,NY - Albany,15,"$12,230.86 ","$3,320.80 ","$2,421.60 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,62,"$25,422.83 ","$7,561.75 ","$6,700.51 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330061,LAWRENCE HOSPITAL CENTER,55 PALMER AVENUE,BRONXVILLE,NY,10708,NY - White Plains,23,"$19,087.60 ","$4,635.95 ","$2,687.00 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,NY - Bronx,34,"$5,053.67 ","$8,844.38 ","$7,773.14 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330088,EASTERN LONG ISLAND HOSPITAL,201 MANOR PLACE,GREENPORT,NY,11944,NY - East Long Island,12,"$21,468.41 ","$4,890.00 ","$3,860.33 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330101,NEW YORK-PRESBYTERIAN HOSPITAL,525 EAST 68TH STREET,NEW YORK,NY,10021,NY - Manhattan,55,"$20,947.12 ","$7,329.69 ","$6,009.65 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,NJ - Hackensack,23,"$23,681.86 ","$4,745.17 ","$3,766.39 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NY - East Long Island,47,"$26,090.46 ","$5,947.89 ","$4,875.72 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330119,LENOX HILL HOSPITAL,100 EAST 77TH STREET,NEW YORK,NY,10021,NY - Manhattan,29,"$29,951.75 ","$5,772.48 ","$4,918.13 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330125,ROCHESTER GENERAL HOSPITAL,1425 PORTLAND AVENUE,ROCHESTER,NY,14621,NY - Rochester,33,"$7,645.12 ","$3,906.09 ","$2,829.06 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330126,ORANGE REGIONAL MEDICAL CENTER,707 EAST MAIN STREET,MIDDLETOWN,NY,10940,NY - White Plains,12,"$23,322.33 ","$4,279.33 ","$3,257.66 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,NY - Bronx,17,"$10,705.76 ","$8,918.52 ","$7,991.94 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330128,ELMHURST HOSPITAL CENTER,79-01 BROADWAY,ELMHURST,NY,11373,NY - East Long Island,12,"$7,740.66 ","$7,843.41 ","$6,900.08 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330141,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,101 HOSPITAL ROAD,PATCHOGUE,NY,11772,NY - East Long Island,19,"$30,961.94 ","$4,571.57 ","$3,225.78 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330153,ELLIS HOSPITAL,1101 NOTT STREET,SCHENECTADY,NY,12308,NY - Albany,12,"$13,238.91 ","$3,659.16 ","$2,626.83 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330158,GOOD SAMARITAN HOSPITAL OF SUFFERN,255 LAFAYETTE AVENUE,SUFFERN,NY,10901,NJ - Ridgewood,11,"$31,222.72 ","$4,882.18 ","$3,394.90 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330160,STATEN ISLAND UNIVERSITY HOSPITAL,475 SEAVIEW AVENUE,STATEN ISLAND,NY,10305,NY - Manhattan,40,"$14,094.77 ","$5,769.25 ","$4,738.95 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330167,WINTHROP-UNIVERSITY HOSPITAL,259 FIRST STREET,MINEOLA,NY,11501,NY - East Long Island,17,"$23,123.52 ","$5,612.52 ","$4,364.05 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330169,BETH ISRAEL MEDICAL CENTER,FIRST AVENUE AT 16TH STREET,NEW YORK,NY,10003,NY - Manhattan,60,"$19,872.08 ","$6,858.88 ","$5,831.13 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330182,"ST FRANCIS HOSPITAL, ROSLYN",100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NY - East Long Island,15,"$19,153.33 ","$4,208.93 ","$2,992.46 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,16 GUION PLACE,NEW ROCHELLE,NY,10802,NY - Bronx,15,"$13,855.86 ","$6,110.00 ","$5,055.60 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777,NY - East Long Island,22,"$23,357.59 ","$4,400.36 ","$2,575.54 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330191,GLENS FALLS HOSPITAL,100 PARK STREET,GLENS FALLS,NY,12801,NY - Albany,18,"$7,732.77 ","$3,293.72 ","$2,359.27 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330194,MAIMONIDES MEDICAL CENTER,4802 TENTH AVENUE,BROOKLYN,NY,11219,NY - Manhattan,34,"$19,716.14 ","$7,454.38 ","$6,293.41 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NY - East Long Island,18,"$24,222.55 ","$7,124.77 ","$5,829.00 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330196,CONEY ISLAND HOSPITAL,2601 OCEAN PARKWAY,BROOKLYN,NY,11235,NY - Manhattan,24,"$12,517.58 ","$7,635.50 ","$6,601.83 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330198,SOUTH NASSAU COMMUNITIES HOSPITAL,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NY - East Long Island,38,"$20,807.57 ","$4,437.60 ","$3,346.47 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,10029,NY - Manhattan,12,"$8,375.75 ","$8,949.91 ","$8,208.58 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330201,KINGSBROOK JEWISH MEDICAL CENTER,585 SCHENECTADY AVENUE,BROOKLYN,NY,11203,NY - Manhattan,11,"$21,387.72 ","$6,182.45 ","$5,670.81 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330202,KINGS COUNTY HOSPITAL CENTER,451 CLARKSON AVENUE,BROOKLYN,NY,11203,NY - Manhattan,15,"$7,596.80 ","$8,577.60 ","$7,674.13 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330208,ST JOHN'S RIVERSIDE HOSPITAL,976 NORTH BROADWAY,YONKERS,NY,10701,NY - White Plains,11,"$16,174.72 ","$5,621.27 ","$4,700.90 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330214,NYU HOSPITALS CENTER,550 FIRST AVENUE,NEW YORK,NY,10016,NY - Manhattan,12,"$19,067.33 ","$6,605.25 ","$4,795.66 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,NY - Manhattan,60,"$16,243.01 ","$7,384.50 ","$6,414.10 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330231,QUEENS HOSPITAL CENTER,82-68 164TH STREET,JAMAICA,NY,11432,NY - East Long Island,18,"$7,499.77 ","$7,893.27 ","$6,773.72 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330232,SETON HEALTH SYSTEM-ST MARY'S CAMPUS,1300 MASSACHUSETTS AVENUE,TROY,NY,12180,NY - Albany,11,"$13,417.45 ","$3,568.54 ","$2,448.18 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330233,BROOKDALE HOSPITAL MEDICAL CENTER,LINDEN BOULEVARD AT BROOKDALE PLAZA,BROOKLYN,NY,11212,NY - Manhattan,14,"$7,774.00 ","$7,349.85 ","$6,386.42 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330236,NEW YORK METHODIST HOSPITAL,506 SIXTH STREET,BROOKLYN,NY,11215,NY - Manhattan,52,"$12,391.98 ","$6,692.98 ","$5,620.65 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330259,MERCY MEDICAL CENTER,1000 NORTH VILLAGE AVENUE,ROCKVILLE CENTR,NY,11570,NY - East Long Island,11,"$18,247.90 ","$4,665.18 ","$3,119.27 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,NY - East Long Island,27,"$21,239.00 ","$4,800.18 ","$3,161.85 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330304,WHITE PLAINS HOSPITAL CENTER,41 EAST POST R0AD,WHITE PLAINS,NY,10601,NY - White Plains,42,"$13,482.47 ","$4,209.50 ","$3,101.19 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330306,LUTHERAN MEDICAL CENTER,150 55TH STREET,BROOKLYN,NY,11220,NY - Manhattan,23,"$8,079.08 ","$7,333.30 ","$6,140.30 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330316,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,2475 ST RAYMOND AVENUE,BRONX,NY,10461,NY - Bronx,12,"$14,467.58 ","$4,751.66 ","$3,819.00 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330331,PLAINVIEW HOSPITAL,888 OLD COUNTRY ROAD,PLAINVIEW,NY,11803,NY - East Long Island,27,"$16,981.77 ","$4,703.85 ","$3,471.37 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330332,ST JOSEPH HOSPITAL,4295 HEMPSTEAD TURNPIKE,BETHPAGE,NY,11714,NY - East Long Island,17,"$15,271.52 ","$4,077.94 ","$3,086.64 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330350,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),445 LENOX ROAD,BROOKLYN,NY,11203,NY - Manhattan,18,"$9,428.77 ","$7,803.33 ","$6,804.22 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330353,FOREST HILLS HOSPITAL,102 - 01 66TH ROAD,FOREST HILLS,NY,11375,NY - East Long Island,46,"$15,266.41 ","$5,491.73 ","$4,289.06 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330372,FRANKLIN HOSPITAL,900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580,NY - East Long Island,15,"$18,948.66 ","$4,612.00 ","$2,909.60 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330393,UNIVERSITY HOSPITAL ( STONY BROOK ),HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,NY - East Long Island,16,"$16,435.43 ","$6,360.43 ","$5,515.43 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330396,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,760 BROADWAY,BROOKLYN,NY,11206,NY - Manhattan,17,"$8,070.82 ","$8,015.94 ","$7,257.58 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,NY - Bronx,16,"$12,455.37 ","$8,429.81 ","$7,369.81 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC,330401,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,SMITHTOWN,NY,11787,NY - East Long Island,23,"$32,229.91 ","$4,267.82 ","$2,936.17 "
252 - OTHER VASCULAR PROCEDURES W MCC,330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,NY - Bronx,11,"$43,369.45 ","$41,437.72 ","$40,880.45 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,330004,KINGSTON HOSPITAL,396 BROADWAY,KINGSTON,NY,12401,NY - Albany,39,"$79,470.20 ","$37,044.64 ","$34,964.20 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,330005,KALEIDA HEALTH,"726 EXCHANGE STREET, SUITE 522",BUFFALO,NY,14210,NY - Buffalo,31,"$125,101.74 ","$49,159.83 ","$46,197.22 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,NY - White Plains,17,"$40,925.76 ","$44,680.17 ","$43,566.70 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,NY - Bronx,29,"$37,431.06 ","$68,510.65 ","$67,512.96 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,330011,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,NY - Binghamton,14,"$50,206.50 ","$27,715.00 ","$27,038.00 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,330013,ALBANY MEDICAL CENTER HOSPITAL,43 NEW SCOTLAND AVENUE,ALBANY,NY,12208,NY - Albany,22,"$122,165.22 ","$39,549.86 ","$38,562.27 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,330014,JAMAICA HOSPITAL MEDICAL CENTER,89TH AVENUE AND VAN WYCK EXPRESSWAY,JAMAICA,NY,11418,NY - East Long Island,23,"$64,228.91 ","$56,575.43 ","$52,416.82 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,NY - Manhattan,36,"$51,140.16 ","$48,191.77 ","$47,292.19 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,NY - Albany,23,"$138,178.43 ","$37,281.47 ","$35,626.30 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NY - Manhattan,56,"$116,820.71 ","$63,389.19 ","$59,866.53 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NY - East Long Island,27,"$74,731.62 ","$54,736.70 ","$53,472.22 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,330028,RICHMOND UNIVERSITY MEDICAL CENTER,355 BARD AVENUE,STATEN ISLAND,NY,10304,NY - Manhattan,31,"$149,967.48 ","$52,060.70 ","$51,338.67 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,330044,FAXTON-ST LUKE'S HEALTHCARE,1656 CHAMPLIN AVENUE,UTICA,NY,13503,NY - Elmira,22,"$109,624.40 ","$40,131.59 ","$36,336.22 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,330045,HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743,NY - East Long Island,17,"$85,825.29 ","$34,090.94 ","$33,101.52 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,330046,ST LUKE'S ROOSEVELT HOSPITAL,1111 AMSTERDAM AVENUE,NEW YORK,NY,10025,NY - Manhattan,26,"$159,761.46 ","$59,044.30 ","$57,798.73 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,330055,NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,56-45 MAIN STREET,FLUSHING,NY,11355,NY - East Long Island,71,"$93,326.50 ","$46,856.52 ","$44,572.33 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,330056,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,121 DEKALB AVENUE,BROOKLYN,NY,11201,NY - Manhattan,11,"$72,264.54 ","$61,957.18 ","$60,293.63 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,78,"$165,982.19 ","$61,594.96 ","$55,804.53 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,330064,NEW YORK DOWNTOWN HOSPITAL,170 WILLIAM STREET,NEW YORK,NY,10038,NY - Manhattan,15,"$95,380.06 ","$62,556.13 ","$59,321.80 "
